,Price,Pages,Total borrowings,Total renewals,Average borrowing duration,unique_users,unique_grades,return_count,active_days,publication_year
Price,1,0.43750197,-0.071483244,-0.033653915,0.094191098,-0.002810859,0.005522506,-0.08049918,-0.020149203,0.134228157
Pages,0.43750197,1,-0.020505243,0.037327066,0.108563083,-0.067698073,-0.113916758,0.005070754,0.038906711,-0.293372194
Total borrowings,-0.071483244,-0.020505243,1,0.40491368,0.062403025,0.681731163,0.459792753,0.695487917,0.610047118,0.014813367
Total renewals,-0.033653915,0.037327066,0.40491368,1,0.112183781,0.237289832,0.129572263,0.320817032,0.325699966,0.033487807
Average borrowing duration,0.094191098,0.108563083,0.062403025,0.112183781,1,0.010918767,0.005226114,0.018591025,0.646826631,0.080510332
unique_users,-0.002810859,-0.067698073,0.681731163,0.237289832,0.010918767,1,0.754124751,0.717928773,0.572150483,-0.001667685
unique_grades,0.005522506,-0.113916758,0.459792753,0.129572263,0.005226114,0.754124751,1,0.508822409,0.487958097,-0.027946943
return_count,-0.08049918,0.005070754,0.695487917,0.320817032,0.018591025,0.717928773,0.508822409,1,0.603265394,-0.001656623
active_days,-0.020149203,0.038906711,0.610047118,0.325699966,0.646826631,0.572150483,0.487958097,0.603265394,1,0.045300866
publication_year,0.134228157,-0.293372194,0.014813367,0.033487807,0.080510332,-0.001667685,-0.027946943,-0.001656623,0.045300866,1